450m 32s (- 1002m 48s) (9300 31%) train loss: 0.9768, val_seen loss: 0.9668, success_rate: 0.124, val_unseen loss: 0.9721, success_rate: 0.120
455m 20s (- 997m 52s) (9400 31%) train loss: 0.9684, val_seen loss: 0.9762, success_rate: 0.131, val_unseen loss: 0.9807, success_rate: 0.120
460m 7s (- 992m 54s) (9500 31%) train loss: 0.9719, val_seen loss: 0.9693, success_rate: 0.129, val_unseen loss: 0.9784, success_rate: 0.118
464m 55s (- 987m 57s) (9600 32%) train loss: 0.9714, val_seen loss: 0.9765, success_rate: 0.130, val_unseen loss: 0.9785, success_rate: 0.119
469m 42s (- 983m 0s) (9700 32%) train loss: 0.9668, val_seen loss: 0.9769, success_rate: 0.132, val_unseen loss: 0.9900, success_rate: 0.122
474m 30s (- 978m 4s) (9800 32%) train loss: 0.9693, val_seen loss: 0.9736, success_rate: 0.134, val_unseen loss: 0.9775, success_rate: 0.118
479m 16s (- 973m 5s) (9900 33%) train loss: 0.9699, val_seen loss: 0.9680, success_rate: 0.132, val_unseen loss: 0.9779, success_rate: 0.121
484m 5s (- 968m 11s) (10000 33%) train loss: 0.9667, val_seen loss: 0.9710, success_rate: 0.129, val_unseen loss: 0.9818, success_rate: 0.118
488m 53s (- 963m 15s) (10100 33%) train loss: 0.9654, val_seen loss: 0.9649, success_rate: 0.127, val_unseen loss: 0.9785, success_rate: 0.115
493m 42s (- 958m 22s) (10200 34%) train loss: 0.9662, val_seen loss: 0.9727, success_rate: 0.131, val_unseen loss: 0.9822, success_rate: 0.122
498m 29s (- 953m 24s) (10300 34%) train loss: 0.9649, val_seen loss: 0.9672, success_rate: 0.130, val_unseen loss: 0.9775, success_rate: 0.115
503m 14s (- 948m 25s) (10400 34%) train loss: 0.9671, val_seen loss: 0.9640, success_rate: 0.126, val_unseen loss: 0.9710, success_rate: 0.111
508m 3s (- 943m 33s) (10500 35%) train loss: 0.9659, val_seen loss: 0.9608, success_rate: 0.130, val_unseen loss: 0.9745, success_rate: 0.116
512m 49s (- 938m 34s) (10600 35%) train loss: 0.9618, val_seen loss: 0.9640, success_rate: 0.135, val_unseen loss: 0.9722, success_rate: 0.125
517m 36s (- 933m 37s) (10700 35%) train loss: 0.9619, val_seen loss: 0.9617, success_rate: 0.129, val_unseen loss: 0.9699, success_rate: 0.120
522m 24s (- 928m 43s) (10800 36%) train loss: 0.9608, val_seen loss: 0.9637, success_rate: 0.127, val_unseen loss: 0.9723, success_rate: 0.117
527m 10s (- 923m 46s) (10900 36%) train loss: 0.9613, val_seen loss: 0.9606, success_rate: 0.126, val_unseen loss: 0.9739, success_rate: 0.117
531m 59s (- 918m 52s) (11000 36%) train loss: 0.9618, val_seen loss: 0.9608, success_rate: 0.131, val_unseen loss: 0.9720, success_rate: 0.121
536m 48s (- 914m 1s) (11100 37%) train loss: 0.9610, val_seen loss: 0.9651, success_rate: 0.130, val_unseen loss: 0.9746, success_rate: 0.111
541m 35s (- 909m 6s) (11200 37%) train loss: 0.9600, val_seen loss: 0.9649, success_rate: 0.123, val_unseen loss: 0.9717, success_rate: 0.112
546m 24s (- 904m 13s) (11300 37%) train loss: 0.9607, val_seen loss: 0.9585, success_rate: 0.126, val_unseen loss: 0.9656, success_rate: 0.117
551m 12s (- 899m 20s) (11400 38%) train loss: 0.9593, val_seen loss: 0.9538, success_rate: 0.129, val_unseen loss: 0.9670, success_rate: 0.116
555m 59s (- 894m 25s) (11500 38%) train loss: 0.9577, val_seen loss: 0.9668, success_rate: 0.128, val_unseen loss: 0.9730, success_rate: 0.115
560m 48s (- 889m 33s) (11600 38%) train loss: 0.9599, val_seen loss: 0.9577, success_rate: 0.129, val_unseen loss: 0.9653, success_rate: 0.109
565m 35s (- 884m 38s) (11700 39%) train loss: 0.9591, val_seen loss: 0.9578, success_rate: 0.126, val_unseen loss: 0.9675, success_rate: 0.109
570m 23s (- 879m 44s) (11800 39%) train loss: 0.9597, val_seen loss: 0.9588, success_rate: 0.131, val_unseen loss: 0.9709, success_rate: 0.120
575m 11s (- 874m 52s) (11900 39%) train loss: 0.9564, val_seen loss: 0.9639, success_rate: 0.131, val_unseen loss: 0.9703, success_rate: 0.117
579m 59s (- 869m 59s) (12000 40%) train loss: 0.9572, val_seen loss: 0.9598, success_rate: 0.129, val_unseen loss: 0.9691, success_rate: 0.118
584m 46s (- 865m 4s) (12100 40%) train loss: 0.9556, val_seen loss: 0.9633, success_rate: 0.127, val_unseen loss: 0.9756, success_rate: 0.116
589m 34s (- 860m 12s) (12200 40%) train loss: 0.9558, val_seen loss: 0.9641, success_rate: 0.132, val_unseen loss: 0.9695, success_rate: 0.125
594m 23s (- 855m 20s) (12300 41%) train loss: 0.9591, val_seen loss: 0.9554, success_rate: 0.129, val_unseen loss: 0.9628, success_rate: 0.112
599m 12s (- 850m 29s) (12400 41%) train loss: 0.9551, val_seen loss: 0.9593, success_rate: 0.128, val_unseen loss: 0.9699, success_rate: 0.112
604m 2s (- 845m 39s) (12500 41%) train loss: 0.9557, val_seen loss: 0.9654, success_rate: 0.122, val_unseen loss: 0.9755, success_rate: 0.113
608m 51s (- 840m 48s) (12600 42%) train loss: 0.9536, val_seen loss: 0.9586, success_rate: 0.131, val_unseen loss: 0.9658, success_rate: 0.118
613m 38s (- 835m 54s) (12700 42%) train loss: 0.9537, val_seen loss: 0.9511, success_rate: 0.126, val_unseen loss: 0.9617, success_rate: 0.112
618m 24s (- 830m 59s) (12800 42%) train loss: 0.9487, val_seen loss: 0.9583, success_rate: 0.126, val_unseen loss: 0.9645, success_rate: 0.111
623m 12s (- 826m 7s) (12900 43%) train loss: 0.9532, val_seen loss: 0.9586, success_rate: 0.129, val_unseen loss: 0.9645, success_rate: 0.110
628m 2s (- 821m 16s) (13000 43%) train loss: 0.9526, val_seen loss: 0.9592, success_rate: 0.132, val_unseen loss: 0.9678, success_rate: 0.120
632m 49s (- 816m 23s) (13100 43%) train loss: 0.9525, val_seen loss: 0.9490, success_rate: 0.126, val_unseen loss: 0.9568, success_rate: 0.111
637m 36s (- 811m 30s) (13200 44%) train loss: 0.9552, val_seen loss: 0.9566, success_rate: 0.126, val_unseen loss: 0.9645, success_rate: 0.111
642m 24s (- 806m 38s) (13300 44%) train loss: 0.9512, val_seen loss: 0.9563, success_rate: 0.123, val_unseen loss: 0.9658, success_rate: 0.109
647m 12s (- 801m 46s) (13400 44%) train loss: 0.9480, val_seen loss: 0.9519, success_rate: 0.127, val_unseen loss: 0.9600, success_rate: 0.109
652m 0s (- 796m 53s) (13500 45%) train loss: 0.9509, val_seen loss: 0.9521, success_rate: 0.131, val_unseen loss: 0.9628, success_rate: 0.117
656m 47s (- 792m 1s) (13600 45%) train loss: 0.9484, val_seen loss: 0.9498, success_rate: 0.129, val_unseen loss: 0.9573, success_rate: 0.116
661m 35s (- 787m 8s) (13700 45%) train loss: 0.9500, val_seen loss: 0.9570, success_rate: 0.131, val_unseen loss: 0.9640, success_rate: 0.114
666m 21s (- 782m 14s) (13800 46%) train loss: 0.9473, val_seen loss: 0.9462, success_rate: 0.131, val_unseen loss: 0.9572, success_rate: 0.121
671m 9s (- 777m 22s) (13900 46%) train loss: 0.9470, val_seen loss: 0.9577, success_rate: 0.129, val_unseen loss: 0.9670, success_rate: 0.113
675m 57s (- 772m 31s) (14000 46%) train loss: 0.9495, val_seen loss: 0.9505, success_rate: 0.141, val_unseen loss: 0.9632, success_rate: 0.125
680m 44s (- 767m 38s) (14100 47%) train loss: 0.9490, val_seen loss: 0.9420, success_rate: 0.132, val_unseen loss: 0.9540, success_rate: 0.120
685m 32s (- 762m 46s) (14200 47%) train loss: 0.9472, val_seen loss: 0.9502, success_rate: 0.135, val_unseen loss: 0.9572, success_rate: 0.122
690m 19s (- 757m 54s) (14300 47%) train loss: 0.9475, val_seen loss: 0.9523, success_rate: 0.128, val_unseen loss: 0.9603, success_rate: 0.117
695m 6s (- 753m 2s) (14400 48%) train loss: 0.9468, val_seen loss: 0.9455, success_rate: 0.132, val_unseen loss: 0.9512, success_rate: 0.122
699m 55s (- 748m 11s) (14500 48%) train loss: 0.9470, val_seen loss: 0.9475, success_rate: 0.138, val_unseen loss: 0.9554, success_rate: 0.122
704m 42s (- 743m 19s) (14600 48%) train loss: 0.9472, val_seen loss: 0.9476, success_rate: 0.134, val_unseen loss: 0.9605, success_rate: 0.121
